carrier,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,hydrogen,hydrogen
category,demand,demand,demand,demand,demand,demand,supply,supply,supply,demand,demand
sector,industry_other,residential_appliances,residential_heating_other,services_appliances,services_heating_other,transport_car,energy_power_solar_pv,energy_power_wind_offshore,energy_power_wind_onshore,industry_other,transport_car
key,industry_other_electricity_demand,residential_appliances_electricity_demand,residential_heating_other_electricity_demand,services_appliances_electricity_demand,services_heating_other_electricity_demand,transport_car_electricity_demand,energy_power_solar_pv_electricity_supply,energy_power_wind_offshore_electricity_supply,energy_power_wind_onshore_electricity_supply,industry_other_hydrogen_demand,transport_car_hydrogen_demand
weather_year,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011
unit,gwh/h,gwh/h,gwh/h,gwh/h,gwh/h,gwh/h,gwh/h,gwh/h,gwh/h,gwh/h,gwh/h
0,0.804469318421119,0.4998508152181793,0.1608273408615545,0.5946168616022727,0.2246390165659636,0.0874706015838037,0.0,17.965254206406,0.1607325812999999,0.0131376970817479,0.0403014946906025
1,0.7878355543184268,0.4266908322635185,0.1617914284634494,0.5898599267094545,0.2254973534196545,0.1172207771224812,0.0,17.545754200845,0.14072109228,0.0128660529691554,0.0540086891057203
2,0.7787625920805946,0.3876115867100972,0.1627555160653443,0.5857825539441818,0.227091407576509,0.1378170524954118,0.0,16.75780445495,0.1288498699799999,0.0127178834531958,0.0634982852392633
3,0.7893477146913989,0.3780689802377502,0.1669624437827038,0.5885008024543636,0.2330997655523454,0.1505308027256158,0.0,16.835489641165,0.1202196797999999,0.012890747888482,0.0693560606303393
4,0.7712017902157345,0.3707984229254858,0.1674883097473737,0.5823847433064545,0.2342033415070908,0.1617189029281953,0.0,17.645635154550003,0.12327227982,0.0125944088565629,0.0745109029744861
5,0.7636409883508745,0.366708734437337,0.1681018200394886,0.6061694177705454,0.2359200152144727,0.1713813531031504,0.0,17.827640447968,0.11479283532,0.0124709342599299,0.0789628122717039
6,0.7636409883508745,0.3885204063741303,0.1762527424918726,0.6612139501017272,0.2478141116156181,0.1874006783932075,0.0,18.620029347361,0.11524507236,0.0124709342599299,0.0863436092644596
7,0.7621288279779024,0.4066967996547913,0.1543416606306254,0.6360701513825454,0.2170366044332727,0.18256945330573,0.0,19.254828297575003,0.11452903038,0.0124462393406033,0.0841176546158507
8,0.742470743129266,0.5162095691707742,0.1603891192243296,0.6020920450052727,0.225742592520709,0.1856207533609789,0.0,19.365807135025,0.12594801564,0.0121252053893576,0.0855235207097089
9,0.7409585827562939,0.6943382233212527,0.1734481240136329,0.6116059147909091,0.2443807642008545,0.2039285536924727,0.0052947,19.396881209511,0.1656318159,0.012100510470031,0.0939587172728583
10,0.6971059319401051,0.8733756971357642,0.1749380775801978,0.6659708849945454,0.2457295792566545,0.2369843042910032,0.0122877,19.321415600045004,0.16344600354,0.0113843578095598,0.1091889332896558
11,0.7046667338049653,0.9701649913552844,0.1445254959567866,0.6782030032903635,0.2037936929763272,0.2598690547053706,0.0137862,19.3103177163,0.16834523814,0.0115078324061927,0.1197329289935926
12,0.695593771567133,0.9306313359698466,0.1374263054337425,0.6408270862753637,0.1942293680351999,0.2771597550184481,0.0100233,19.470127242228,0.15632327016,0.0113596628902332,0.1276995035254559
13,0.7016424130590212,0.8547448940230865,0.1750257219076428,0.6564570152089091,0.2462200574587636,0.3048757305202928,0.002664,19.150508190372,0.14068340586,0.0114584425675395,0.1404694538780014
14,0.695593771567133,0.7534115014834012,0.172922258048963,0.6788825654179091,0.2425414709429454,0.3036043554972724,0.0,19.463468511981,0.1674407640599999,0.0113596628902332,0.1398836763388938
15,0.7076910545509093,0.7038808297935998,0.1756392321997577,0.7074241747748181,0.2467105356608727,0.3175894807504968,0.0,19.252608720826,0.16664934924,0.0115572222448459,0.1463272292690774
16,0.7137396960427974,0.7352351082027402,0.1964109378042201,0.791010316462909,0.2761392277874182,0.330811780989909,0.0,18.53346585415,0.2013585420599999,0.0116560019221523,0.1524193156757964
17,0.7182761771617135,0.7629541079557483,0.1428602537353318,0.7950876892281817,0.2009734433141999,0.2858051051749867,0.0,18.93298966897,0.2025268210799999,0.0117300866801321,0.1316827907913875
18,0.7333977808914338,0.7575011899715499,0.1296259602911385,0.7135402339227273,0.1819674129824727,0.2113025288259911,0.0,18.342582253736,0.1906932852,0.011977035873398,0.0973562269996824
19,0.7651531487238463,0.8411125990625908,0.181248469156237,0.7475183403,0.252718893636709,0.1797724282550851,0.0,18.435804477194,0.18289219626,0.0124956291792565,0.082828944029814
20,0.8604192522210842,0.8097583206534504,0.181073180501347,0.7441205296622727,0.2528415131872363,0.154344927794677,0.0,18.036280662374,0.17784221598,0.0140514090968319,0.0711133932476621
21,1.120510836372273,0.7097881576098146,0.1782685620231074,0.6788825654179091,0.250021263525109,0.1225605522191669,0.0,18.098428811346,0.17000344062,0.0182989352210061,0.0564689547699722
22,1.1764607701722378,0.6257223386867572,0.1741492786331929,0.6279154058519999,0.2445033837513817,0.0996758018047996,0.0,17.288283297961,0.1641243590999999,0.01921264723609,0.0459249590660355
23,1.2006553361397907,0.5171183888348073,0.1691535519688285,0.596655547984909,0.2377593084723818,0.091539001657469,0.0,17.128473772033,0.17064410976,0.0196077659453155,0.0421759828157468
24,0.804469318421119,0.4998508152181793,0.1906264121928507,0.5946168616022727,0.2676784788010363,0.2941961803269214,0.0,16.129664234983,0.15937587018,0.0131376970817479,0.1355489225494976
25,0.7878355543184268,0.4266908322635185,0.1919410771045256,0.5898599267094545,0.2692725329578908,0.2624118047514113,0.0,16.529188049803,0.16533032454,0.0128660529691554,0.1209044840718077
26,0.7787625920805946,0.3876115867100972,0.1947456955827652,0.5857825539441818,0.2735642172263454,0.2545292796086848,0.0,16.939809748368003,0.1791989271,0.0127178834531958,0.1172726633293406
27,0.7893477146913989,0.3780689802377502,0.1983391130080098,0.5885008024543636,0.2787142383484908,0.2522408045672481,0.0,17.29050287471,0.192200742,0.012890747888482,0.116218263758947
28,0.7712017902157345,0.3707984229254858,0.1984267573354548,0.5823847433064545,0.279695194752709,0.2524950795718522,0.0,17.379285944670002,0.21371968782,0.0125944088565629,0.1163354192667685
29,0.7636409883508745,0.366708734437337,0.1986896903177898,0.6061694177705454,0.2803082925053454,0.261648979737599,0.0,17.599024042821004,0.2621090511,0.0124709342599299,0.1205530175483432
30,0.7636409883508745,0.3885204063741303,0.2078923446995136,0.6612139501017272,0.2928154866591272,0.2992816804190031,0.0,16.884320329643003,0.3018305377799999,0.0124709342599299,0.137892032705928
31,0.7621288279779024,0.4066967996547913,0.1817743351209069,0.6360701513825454,0.2571331974556909,0.3069099305571255,0.0,16.955346785611003,0.30458164644,0.0124462393406033,0.1414066979405736
32,0.742470743129266,0.5162095691707742,0.1861565514931563,0.6020920450052727,0.2638772727346908,0.2873307552026112,0.0,15.739018727159,0.3036771723599999,0.0121252053893576,0.1323857238383166
33,0.7409585827562939,0.6943382233212527,0.2007055098490245,0.6116059147909091,0.2830059226169454,0.2944504553315255,0.0073593,15.268468456371,0.303375681,0.012100510470031,0.1356660780573191
34,0.6971059319401051,0.8733756971357642,0.2049124375663839,0.6659708849945454,0.2865618895822363,0.3109783306307908,0.0202131,13.688129811083002,0.28615298706,0.0113843578095598,0.1432811860657179
35,0.7046667338049653,0.9701649913552844,0.1703805725530583,0.6782030032903635,0.2387402648765999,0.3125039806584153,0.0260739,14.007748862939,0.26953327584,0.0115078324061927,0.143984119112647
