carrier,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,hydrogen,hydrogen
category,demand,demand,demand,demand,demand,demand,supply,supply,supply,demand,demand
sector,industry_other,residential_appliances,residential_heating_other,services_appliances,services_heating_other,transport_car,energy_power_hydro_run,energy_power_solar_pv,energy_power_wind_onshore,industry_other,transport_car
key,industry_other_electricity_demand,residential_appliances_electricity_demand,residential_heating_other_electricity_demand,services_appliances_electricity_demand,services_heating_other_electricity_demand,transport_car_electricity_demand,energy_power_hydro_run_electricity_supply,energy_power_solar_pv_electricity_supply,energy_power_wind_onshore_electricity_supply,industry_other_hydrogen_demand,transport_car_hydrogen_demand
weather_year,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011
unit,gwh/h,gwh/h,gwh/h,gwh/h,gwh/h,gwh/h,gwh/h,gwh/h,gwh/h,gwh/h,gwh/h
0,1.3022742811427157,1.153969874188736,1.0571568357935897,1.0818331134336414,1.277926683676086,0.0800344161052335,2.2050047746574473,0.0,0.0031,1.5399602395839282,0.0620349929361028
1,1.364550947084716,0.935257172402062,1.121184304716862,1.1362338642805905,1.355754654653667,0.1798033457706616,2.2050047746574473,0.0,0.00355,1.613603396630981,0.1393662855002857
2,1.4033008725597382,0.7936146607687875,1.13912606798657,1.1448885291880595,1.3811239932596189,0.1995378593308562,2.2050047746574473,0.0,0.00155,1.6594258054602586,0.1546625851283659
3,1.4226758352972495,0.7477891422991989,1.1648074154118384,1.1510704326933945,1.414663118874267,0.1534906610237355,2.2050047746574473,0.0,0.00895,1.682337009874897,0.1189712193295122
4,1.3313367252489825,0.696756178548975,1.124702297514844,1.1016152046507135,1.3639244416623637,0.0986725678009729,2.2050047746574473,0.0,0.004,1.5743270462058865,0.0764814981404007
5,1.2690600593069823,0.6561381053600213,1.0691180113067282,1.0867786362379095,1.2942662576934785,0.0920943966142413,2.2050047746574473,0.0,0.00145,1.5006838891588334,0.0713827315977073
6,1.1777209492587153,0.6467647038548783,1.0131819258188146,1.0793603520315072,1.228477972833976,0.0920943966142413,2.2050047746574473,0.0,0.0031,1.3926739254898224,0.0713827315977073
7,1.0213373214488035,0.6665529959212915,0.8017505586600966,0.9433584749141352,0.9743545979845256,0.0811307779696888,2.2050047746574473,0.12,0.0045,1.2077477755716677,0.062884787359885
8,0.9466053223184032,0.983165668983905,0.8010469601005002,0.8679392521490472,0.971344676455006,0.1776106220417512,2.2050047746574473,1.01875,0.0037,1.119375987115204,0.1376666966527213
9,0.9216946559416034,1.447669788016555,0.824969311126778,0.8568118258394442,1.0018738805401344,0.3223303881498447,2.2050047746574473,1.765,0.00225,1.0899187242963828,0.2498395605919757
10,0.9576767295969812,1.8392696731203135,0.7862713903489759,0.8926668661703876,0.9610249454966526,0.5021337339205065,2.2050047746574473,2.146875,0.00245,1.132468103923569,0.3892058460922615
11,0.9230785818514254,2.097558959039814,0.6402746892327231,0.9037942924799908,0.7864494967845089,0.7192133830826467,2.2050047746574473,2.27625,0.00315,1.0915552388974283,0.557465142001143
12,0.9369178409496478,2.1746291491932137,0.6423854849115123,0.9211036222949288,0.78988940710396,1.0108456390277445,2.2050047746574473,2.100625,0.0046,1.1079203849078847,0.7835104587272166
